"EducationYear","TypeOfExam","Division","Standard",,,,,,,
"2015-2016","Periodical1","All",8,,,,,,,
,,,,,,,,,,
"Student","StudentID","Malayalam","Tamil","English","Hindi","Math","Science","Social","Attendance","Remarks"
"S.Anish",800001,,66,77,71,78,84,76,"30/30","Good"
"A.Ashwin",800002,76,,67,77,78,90,72,"29/30","Good"
"M.Anjali",800003,81,,90,88,100,98,92,"30/30","Very Good"
"S.Athulya",800004,,60,56,55,61,63,57,"28/30","Need Improvement"
"M.Anandhi",800005,,80,72,77,81,73,69,"29/30","Good"
"A.Aarthi",800006,,"ab",72,66,61,67,72,"28/30","Dont take more leave"
"N.Baskar",800007,67,,56,55,30,29,46,"27/30","Poor"
"D.Benny",800008,,45,30,27,44,41,50,"27/30","Poor"
"S.Bharathi",800009,81,,78,80,90,84,77,"30/30","Good"
"S.Benson",800010,,56,44,30,47,51,28,"26/30","Poor"
"C.Charmi",800011,,90,92,100,98,94,90,"30/30","Very Good"
"S.Dhanya",800012,,88,72,81,73,80,78,"30/30","Good"
"M.Dhanesh",800013,,90,94,100,90,92,89,"29/30","Very Good"
"N.Dhanush",800014,,45,41,27,34,43,51,"26/30","Poor"
"V.Deepthi",800015,,80,78,84,90,92,79,"30/30","Good"
"A.Elan",800016,,31,45,32,43,51,57,"27/30","Poor"
"D.Elena",800017,61,,56,45,27,44,47,"29/30","Poor"
"A.Feroz",800018,23,,44,21,25,19,44,"24/30","Poor"
"S.Finil",800019,67,,61,54,56,61,65,"29/30","Need Improvement"
"R.Fiaz",800020,,65,30,44,45,31,39,"28/30","Poor"
"R.Girija",800021,,80,90,100,95,91,93,"30/30","Very Good"
"S.Gaurav",800022,,44,51,32,44,56,61,"23/30","Poor"
"N.Harshid",800023,,63,74,65,"ab",67,71,"25/30","Dont take more leave"
"S.Indhu",800024,,81,77,67,72,67,78,"30/30","Good"
"A.Inba Shalini",800025,61,,45,34,45,51,56,"27/30","Poor"
"G.Jayanth",800026,72,,77,75,67,80,79,"30/30","Good"
"S.Kathir",800027,,80,90,98,97,90,93,"30/30","Very Good"
"V.Kani",800028,,72,71,67,75,80,77,"29/30","Good"
"A.Lijin",800029,,33,41,30,36,56,49,"28/30","Poor"
"S.Manohar",800030,70,,76,70,71,79,69,"29/30","Good"
"A.Martha",800031,,56,44,23,29,45,57,"30/30","Poor"
"S.Munish Kumar",800032,,80,71,77,81,76,75,"28/30","Good"
"V.Murali",800033,,61,45,31,56,57,71,"27/30","Poor"
"S.Ramesh",800034,,45,51,54,61,47,57,"27/30","Need Improvement"
"R.Raghavan",800035,,90,92,88,94,93,97,"30/30","Very Good"
"S.Renuga Devi",800036,98,,90,89,94,100,95,"30/30","Very Good"
"S.Sindhu",800037,66,,72,70,77,78,81,"30/30","Good"
"S.Santosh",800038,,56,"ab","ab",31,44,51,"22/30","Poor"
"M.Teena",800039,,62,56,51,57,61,64,"29/30","Need Improvement"
"M.Umesh",800040,,70,72,80,81,77,80,"30/30","Good"
"A.Vijay Kumar",800041,65,,61,45,30,45,51,"27/30","Poor"
"M.Viji",800042,78,,77,73,69,72,67,"30/30","Good"
