"Student";"StudentID";"Malayalam";"Tamil";"English";"Hindi";"Math";"Science";"Social";"Attendance";"Remarks"
"R.S.Abhilash";600001;80;;77;76;78;86;77;"28/30";"Good"
"A.R.Anil";600002;;45;46;33;34;47;56;"27/30";"Poor"
"S.C.Anjali";600003;;94;90;89;96;98;94;"30/30";"Very Good"
"C.V.Athira";600004;;61;66;71;59;58;67;"29/30";"Need Improvement"
"S.S.Athulya";600005;;88;89;90;81;84;89;"30/30";"Good"
"B.N.Biju";600006;44;;47;51;56;61;64;"29/30";"Need Improvement"
"N.A.Bindhu";600007;;90;89;81;88;90;93;"30/30";"Very Good"
"D.V.Binu";600008;;41;44;31;28;56;41;"29/30";"Poor"
"C.S.Bhavana";600009;92;;90;91;94;96;98;"30/30";"Very Good"
"A.N.Brindha";600010;;71;77;72;78;81;79;"30/30";"Good"
"C.S.Chandhini";600011;92;;94;96;90;93;95;"30/30";"Very Good"
"A.L.Chandrika";600012;;80;77;79;89;91;88;"29/30";"Good"
"V.A.Daniel";600013;;69;71;69;66;72;71;"27/30";"Need Improvement"
"S.S.Dhanya";600014;;78;81;79;78;80;76;"30/30";"Good"
"B.S.Deepthi";600015;94;;92;90;91;97;90;"30/30";"Very Good"
"A.Eugene";600016;;56;59;58;31;47;56;"30/30";"Poor"
"S.Esther";600017;;"ab";56;37;51;55;61;"26/30";"Poor"
"A.Ferdinand";600018;42;;40;31;34;56;57;"25/30";"Poor"
"S.Franklin";600019;;77;72;79;81;78;80;"30/30";"Good"
"N.Freddy";600020;;56;62;66;69;59;71;"28/30";"Need Improvement"
"R.S.Gayathri";600021;91;;94;97;100;91;93;"30/30";"Very Good"
"S.S.Ganesh Kumar";600022;;34;45;56;61;67;52;"27/30";"Poor"
"A.Hema";600023;89;;88;90;91;89;87;"29/30";"Very Good"
"S.S.Indrajith";600024;;77;78;79;81;84;79;"29/30";"Good"
"R.Indira";600025;;84;88;90;91;93;90;"30/30";"Very Good"
"S.Jeni";600026;;79;80;81;78;75;81;"28/30";"Good"
"M.Kavitha";600027;;90;90;94;96;98;98;"30/30";"Very Good"
"K.Kiran";600028;40;;44;31;59;34;61;"28/30";"Poor"
"D.Lingston";600029;;41;34;45;35;56;61;"28/30";"Poor"
"S.Manoj";600030;;77;76;72;69;67;78;"30/30";"Good"
"A.Mridhula";600031;90;;94;92;98;94;93;"30/30";"Very Good"
"F.Mejo";600032;;50;52;43;38;34;45;"27/30";"Poor"
"S.Prakash";600033;;80;78;59;63;66;77;"30/30";"Need Improvement"
"A.Rahman";600034;;77;80;78;71;75;80;"30/30";"Good"
"V.A.Rajesh";600035;;78;80;81;73;79;80;"29/30";"Good"
"C.S.Reshmi";600036;95;;94;95;100;96;95;"29/30";"Very Good"
"A.Suresh";600037;;45;45;31;46;67;71;"25/30";"Poor"
"S.N.Suresh";600038;51;;54;54;41;35;51;"28/30";"Poor"
"A.Tushara";600039;;77;70;69;71;59;66;"30/30";"Need Improvement"
"N.Ujin";600040;;60;61;59;77;66;62;"28/30";"Need Improvement"
"M.Vijay";600041;51;;54;42;33;45;56;"27/30";"Poor"
