"Student";"StudentID";"Malayalam";"Tamil";"English";"Hindi";"Math";"Science";"Social";"Attendance";"Remarks"
"S.Anish";800001;;77;79;81;70;81;77;"29/30";"Good"
"A.Ashwin";800002;72;;71;74;81;79;77;"30/30";"Good"
"M.Anjali";800003;88;;92;90;89;88;85;"28/30";"Very Good"
"S.Athulya";800004;;67;71;59;59;71;77;"30/30";"Need Improvement"
"M.Anandhi";800005;;77;79;80;75;79;80;"30/30";"Good"
"A.Aarthi";800006;;66;77;73;69;72;78;"29/30";"Need Improvement"
"N.Baskar";800007;55;;57;34;45;51;49;"26/30";"Poor"
"D.Benny";800008;;34;47;56;53;36;45;"28/30";"Poor"
"S.Bharathi";800009;88;;80;88;92;97;89;"30/30";"Very Good"
"S.Benson";800010;;44;51;47;29;45;56;"28/30";"Poor"
"C.Charmi";800011;;92;89;97;95;93;89;"30/30";"Very Good"
"S.Dhanya";800012;;81;77;79;83;88;82;"29/30";"Good"
"M.Dhanesh";800013;;89;88;85;92;94;90;"30/30";"Very Good"
"N.Dhanush";800014;;46;34;45;51;54;59;"27/30";"Poor"
"V.Deepthi";800015;;77;72;82;85;95;79;"28/30";"Good"
"A.Elan";800016;;45;48;46;37;56;49;"26/30";"Poor"
"D.Elena";800017;56;;45;33;47;56;55;"30/30";"Poor"
"A.Feroz";800018;56;;55;45;34;27;56;"27/30";"Poor"
"S.Finil";800019;72;;67;59;63;66;71;"30/30";"Need Improvement"
"R.Fiaz";800020;;67;45;31;47;56;34;"29/30";"Poor"
"R.Girija";800021;;88;89;95;90;87;95;"30/30";"Very Good"
"S.Gaurav";800022;;34;57;51;50;47;56;"27/30";"Poor"
"N.Harshid";800023;;66;78;63;77;56;69;"28/30";"Need Improvement"
"S.Indhu";800024;;89;79;74;77;71;81;"30/30";"Good"
"A.Inba Shalini";800025;66;;51;55;47;57;61;"30/30";"Need Improvement"
"G.Jayanth";800026;77;;79;81;78;81;83;"30/30";"Good"
"S.Kathir";800027;;88;92;96;94;88;89;"30/30";"Very Good"
"V.Kani";800028;;77;79;72;77;81;74;"29/30";"Good"
"A.Lijin";800029;;45;46;45;57;33;32;"26/30";"Poor"
"S.Manohar";800030;73;;69;67;73;75;59;"29/30";"Need Improvement"
"A.Martha";800031;;56;57;51;44;31;59;"28/30";"Poor"
"S.Munish Kumar";800032;;70;72;79;78;80;79;"30/30";"Good"
"V.Murali";800033;;56;34;45;51;50;53;"30/30";"Poor"
"S.Ramesh";800034;;56;57;61;64;67;50;"28/30";"Need Improvement"
"R.Raghavan";800035;;92;90;91;96;95;89;"30/30";"Very Good"
"S.Renuga Devi";800036;93;;89;88;90;94;92;"30/30";"Very Good"
"S.Sindhu";800037;71;;77;74;79;81;80;"30/30";"Good"
"S.Santosh";800038;;45;33;49;45;51;54;"27/30";"Poor"
"M.Teena";800039;;67;61;59;71;67;64;"28/30";"Need Improvement"
"M.Umesh";800040;;77;79;78;84;80;71;"28/30";"Good"
"A.Vijay Kumar";800041;56;;57;51;44;45;34;"27/30";"Poor"
"M.Viji";800042;77;;78;72;77;79;81;"30/30";"Good"
