"Student";"StudentID";"Malayalam";"Tamil";"English";"Hindi";"Math";"Science";"Social";"Attendance";"Remarks"
"S.Anish";800001;;77;70;80;76;75;74;"30/30";"Good"
"A.Ashwin";800002;70;;77;75;80;78;79;"29/30";"Good"
"M.Anjali";800003;90;;88;92;95;90;91;"30/30";"Very Good"
"S.Athulya";800004;;51;59;67;69;58;63;"28/30";"Need Improvement"
"M.Anandhi";800005;;77;74;76;77;78;81;"30/30";"Good"
"A.Aarthi";800006;;80;81;86;90;92;88;"29/30";"Very Good"
"N.Baskar";800007;51;;54;31;27;41;44;"26/30";"Poor"
"D.Benny";800008;;41;49;34;46;51;39;"27/30";"Poor"
"S.Bharathi";800009;80;;81;88;89;90;89;"30/30";"Very Good"
"S.Benson";800010;;51;54;30;31;47;55;"29/30";"Poor"
"C.Charmi";800011;;90;92;96;94;95;96;"30/30";"Very Good"
"S.Dhanya";800012;;88;80;90;88;91;86;"30/30";"Very Good"
"M.Dhanesh";800013;;80;81;82;79;88;82;"29/30";"Good"
"N.Dhanush";800014;;45;47;43;23;29;55;"26/30";"Poor"
"V.Deepthi";800015;;75;78;79;82;88;80;"29/30";"Good"
"A.Elan";800016;;34;45;47;35;49;40;"27/30";"Poor"
"D.Elena";800017;51;;47;45;36;45;31;"25/30";"Poor"
"A.Feroz";800018;"ab";;45;40;30;34;45;"24/30";"Poor"
"S.Finil";800019;56;;61;55;34;47;65;"26/30";"Poor"
"R.Fiaz";800020;;61;66;59;64;59;65;"30/30";"Need Improvement"
"R.Girija";800021;;84;88;91;92;90;89;"29/30";"Very Good"
"S.Gaurav";800022;;56;55;51;57;61;54;"28/30";"Need Improvement"
"N.Harshid";800023;;75;78;81;74;72;70;"28/30";"Good"
"S.Indhu";800024;;81;84;87;80;90;89;"30/30";"Very Good"
"A.Inba Shalini";800025;50;;40;34;41;36;49;"27/30";"Poor"
"G.Jayanth";800026;72;;78;81;77;79;78;"30/30";"Good"
"S.Kathir";800027;;92;90;84;87;91;86;"29/30";"Very Good"
"V.Kani";800028;;78;77;78;72;79;74;"30/30";"Good"
"A.Lijin";800029;;44;47;56;30;45;51;"26/30";"Poor"
"S.Manohar";800030;77;;75;78;81;77;80;"28/30";"Good"
"A.Martha";800031;;45;47;46;54;30;51;"27/30";"Poor"
"S.Munish Kumar";800032;;80;79;82;84;85;90;"30/30";"Good"
"V.Murali";800033;;45;51;57;44;34;42;"28/30";"Poor"
"S.Ramesh";800034;;56;56;66;67;59;63;"29/30";"Need Improvement"
"R.Raghavan";800035;;90;94;93;90;85;94;"29/30";"Very Good"
"S.Renuga Devi";800036;88;;89;91;94;95;92;"30/30";"Very Good"
"S.Sindhu";800037;72;;59;58;72;74;70;"30/30";"Need Improvement"
"S.Santosh";800038;;65;61;41;33;"ab";56;"26/30";"Poor"
"M.Teena";800039;;67;65;71;77;72;76;"29/30";"Good"
"M.Umesh";800040;;76;77;81;84;79;78;"30/30";"Good"
"A.Vijay Kumar";800041;65;;69;71;77;69;59;"28/30";"Need Improvement"
"M.Viji";800042;80;;84;86;88;90;94;"30/30";"Very Good"
