Student,StudentID,Malayalam,Tamil,English,Hindi,Math,Science,Social,Attendance,Remarks
A.Athira,700001,77,,90,81,94,82,96,29/30,Very Good
S.N.Adarsh,700002,,59,66,61,64,67,71,30/30,Need Improvement
B.Anitha,700003,,90,92,96,100,90,93,30/30,Very Good
S.Arjun,700004,,61,67,72,80,79,81,28/30,Good
S.S.Apoorva,700005,80,,82,86,88,81,70,30/30,Good
R.S.Baiju,700006,,31,56,61,44,51,56,27/30,Poor
S.Bagyaraj,700007,,78,66,51,71,67,72,28/30,Need Improvement
D.Balaji,700008,,51,56,51,47,51,61,28/30,Need Improvement
M.S.Bhavani,700009,,86,78,81,78,89,91,30/30,Very Good
A.Bhuvaneshwari,700010,56,,37,41,29,51,54,28/30,Poor
S.Chinmayi,700011,90,,92,94,100,92,88,30/30,Very Good
D.Divya,700012,,78,80,81,79,84,79,30/30,Very Good
M.D.Dharshan,700013,,51,56,67,72,47,51,30/30,Need Improvement
S.Deepa,700014,,80,65,51,43,51,54,26/30,Need Improvement
V.S.Dhanu,700015,,92,90,87,89,91,90,30/30,Very Good
S.Elangovan,700016,56,,41,53,34,47,56,28/30,Poor
D.Elizabeth,700017,,41,37,56,34,51,57,28/30,Poor
G.Fathima,700018,36,,47,51,46,31,45,28/30,Poor
A.Fazil,700019,,66,67,59,61,63,71,29/30,Need Improvement
R.Freeda,700020,,56,43,33,41,54,39,28/30,Poor
J.Ganga,700021,,90,94,91,88,96,86,30/30,Very Good
A.GiriKumar,700022,25,,41,44,38,44,51,25/30,Poor
N.Hima,700023,78,,71,81,77,78,81,27/30,Good
D.Irvine,700024,,72,61,64,65,54,69,30/30,Need Improvement
S.S.Indulekha,700025,,81,85,82,86,91,88,30/30,Very Good
A.Jalaja,700026,,61,66,59,63,67,58,28/30,Need Improvement
K.Kanimozhi,700027,88,,79,81,84,87,79,28/30,Good
K.Kumar,700028,44,,51,67,64,62,61,28/30,Need Improvement
S.Livingston,700029,,44,30,29,35,47,40,27/30,Poor
A.Mohan,700030,,72,74,71,78,81,67,29/30,Good
S.Madhavi,700031,,90,92,87,91,90,86,30/30,Very Good
B.Michael,700032,60,,51,52,47,35,51,30/30,Poor
G.Pradeep,700033,72,,77,67,78,81,79,29/30,Good
H.Rajan,700034,62,,61,59,54,58,61,30/30,Need Improvement
V.Retheesh,700035,,70,72,59,65,69,72,28/30,Need Improvement
H.Renuga,700036,,96,89,98,96,91,97,30/30,Very Good
J.Sudheer,700037,ab,,70,78,79,67,81,26/30,Dont take leaves
P.Subash,700038,,72,70,71,67,59,63,28/30,Need Improvement
P.Tushar,700039,,77,82,81,77,71,74,30/30,Good
H.Unnimaya,700040,72,,74,80,79,86,85,30/30,Good
K.Vinay,700041,50,,45,31,57,71,56,27/30,Poor
S.Vijil,700042,,51,30,44,32,47,41,28/30,Poor
