"EducationYear","TypeOfExam","Division","Standard",,,,,,,
"2015-2016","Periodical2","All",6,,,,,,,
,,,,,,,,,,
"Student","StudentID","Malayalam","Tamil","English","Hindi","Math","Science","Social","Attendance","Remarks"
"R.S.Abhilash",600001,81,,75,72,67,86,81,"30/30","Good"
"A.R.Anil",600002,,54,34,44,31,51,55,"28/30","Poor"
"S.C.Anjali",600003,,91,92,86,100,89,90,"29/30","Very Good"
"C.V.Athira",600004,,56,60,62,56,68,61,"27/30","Need Improvement"
"S.S.Athulya",600005,,80,76,91,89,94,90,"30/30","Good"
"B.N.Biju",600006,34,,60,41,72,56,34,"28/30","Poor"
"N.A.Bindhu",600007,,87,71,67,73,89,81,"30/30","Good"
"D.V.Binu",600008,,56,61,61,34,61,45,"27/30","Poor"
"C.S.Bhavana",600009,90,,94,89,83,90,94,"30/30","Good"
"A.N.Brindha",600010,,67,63,56,59,61,54,"28/30","Need Improvement"
"C.S.Chandhini",600011,90,,92,91,100,100,96,"30/30","Very Good"
"A.L.Chandrika",600012,,78,76,71,100,88,79,"30/30","Good"
"V.A.Daniel",600013,,66,77,72,69,78,78,"28/30","Good"
"S.S.Dhanya",600014,,69,51,45,56,61,49,"28/30","Need Improvement"
"B.S.Deepthi",600015,90,,91,86,94,100,93,"29/30","Very Good"
"A.Eugene",600016,,65,51,53,46,44,51,"28/30","Need Improvement"
"S.Esther",600017,,61,45,31,47,29,37,"27/30","Poor"
"A.Ferdinand",600018,44,,61,44,45,57,66,"28/30","Need Improvement"
"S.Franklin",600019,,80,82,84,79,"ab",67,"27/30","Dont take more leave"
"N.Freddy",600020,,66,51,54,56,61,56,"30/30","Need Improvement"
"R.S.Gayathri",600021,90,,91,81,100,89,92,"29/30","Very Good"
"S.S.Ganesh Kumar",600022,,47,51,60,34,29,31,"26/30","Poor"
"A.Hema",600023,81,,80,77,81,100,90,"30/30","Good"
"S.S.Indrajith",600024,,80,71,77,72,81,80,"30/30","Good"
"R.Indira",600025,,81,85,81,77,88,87,"28/30","Good"
"S.Jeni",600026,,80,79,80,77,79,91,"30/30","Good"
"M.Kavitha",600027,,92,89,90,100,100,92,"30/30","Very Good"
"K.Kiran",600028,45,,56,51,56,61,45,"30/30","Need Improvement"
"D.Lingston",600029,,34,45,56,44,34,45,"26/30","Poor"
"S.Manoj",600030,,75,80,72,77,81,90,"29/30","Good"
"A.Mridhula",600031,91,,85,91,100,96,94,"30/30","Very Good"
"F.Mejo",600032,,56,61,45,31,32,45,"26/30","Poor"
"S.Prakash",600033,,77,78,71,89,80,81,"29/30","Good"
"A.Rahman",600034,,72,70,69,81,73,77,"29/30","Good"
"V.A.Rajesh",600035,,72,66,56,67,72,70,"30/30","Need Improvement"
"C.S.Reshmi",600036,96,,97,99,99,100,97,"30/30","Very Good"
"A.Suresh",600037,,56,66,56,62,61,66,"28/30","Need Improvement"
"S.N.Suresh",600038,56,,51,50,37,56,31,"26/30","Poor"
"A.Tushara",600039,,70,72,80,78,90,79,"29/30","Good"
"N.Ujin",600040,,66,62,67,69,61,67,"29/30","Need Improvement"
"M.Vijay",600041,56,,50,30,29,51,56,"26/30","Poor"
