"Student";"StudentID";"Malayalam";"Tamil";"English";"Hindi";"Math";"Science";"Social";"Attendance";"Remarks"
"A.Athira";700001;81;;90;77;94;90;90;"30/30";"Very Good"
"S.N.Adarsh";700002;;66;60;63;61;59;57;"30/30";"Need Improvement"
"B.Anitha";700003;;90;85;92;94;97;96;"30/30";"Very Good"
"S.Arjun";700004;;57;54;61;62;67;64;"29/30";"Need Improvement"
"S.S.Apoorva";700005;78;;77;90;90;77;81;"29/30";"Good"
"R.S.Baiju";700006;;34;66;67;70;66;67;"26/30";"Poor"
"S.Bagyaraj";700007;;90;67;59;73;90;77;"29/30";"Good"
"D.Balaji";700008;;45;34;33;45;56;55;"22/30";"Poor"
"M.S.Bhavani";700009;;80;80;77;60;90;80;"30/30";"Very Good"
"A.Bhuvaneshwari";700010;55;;56;30;44;67;51;"25/30";"Poor"
"S.Chinmayi";700011;90;;96;90;100;97;98;"30/30";"Very Good"
"D.Divya";700012;;77;66;78;71;81;63;"29/30";"Good"
"M.D.Dharshan";700013;;57;67;71;55;51;61;"27/30";"Need Improvement"
"S.Deepa";700014;;72;45;34;27;33;44;"26/30";"Poor"
"V.S.Dhanu";700015;;90;93;80;90;94;89;"30/30";"Very Good"
"S.Elangovan";700016;77;;44;47;33;66;33;"26/30";"Poor"
"D.Elizabeth";700017;;44;37;56;39;33;64;"30/30";"Poor"
"G.Fathima";700018;45;;44;56;37;51;47;"23/30";"Poor"
"A.Fazil";700019;;77;80;72;78;66;73;"30/30";"Need Improvement"
"R.Freeda";700020;;65;32;33;30;44;32;"27/30";"Poor"
"J.Ganga";700021;;88;81;89;90;90;92;"30/30";"Very Good"
"A.GiriKumar";700022;44;;45;56;34;44;34;"19/30";"Poor"
"N.Hima";700023;77;;74;71;78;80;87;"23/30";"Good"
"D.Irvine";700024;;66;61;64;77;54;69;"30/30";"Need Improvement"
"S.S.Indulekha";700025;;90;84;80;81;77;79;"29/30";"Good"
"A.Jalaja";700026;;77;78;74;81;76;77;"30/30";"Good"
"K.Kanimozhi";700027;94;;90;90;93;90;89;"30/30";"Very Good"
"K.Kumar";700028;30;;44;67;33;56;77;"23/30";"Poor"
"S.Livingston";700029;;44;45;33;45;31;56;"28/30";"Poor"
"A.Mohan";700030;;77;80;75;76;77;81;"30/30";"Good"
"S.Madhavi";700031;;90;87;92;90;93;98;"29/30";"Very Good"
"B.Michael";700032;65;;34;44;31;56;44;"28/30";"Poor"
"G.Pradeep";700033;77;;72;78;72;79;78;"30/30";"Good"
"H.Rajan";700034;66;;64;59;59;56;63;"28/30";"Need Improvement"
"V.Retheesh";700035;;75;77;79;88;90;97;"30/30";"Good"
"H.Renuga";700036;;90;96;97;96;90;94;"29/30";"Very Good"
"J.Sudheer";700037;66;;72;70;67;77;59;"30/30";"Need Improvement"
"P.Subash";700038;;56;54;33;50;45;54;"27/30";"Poor"
"P.Tushar";700039;;77;78;69;78;77;81;"30/30";"Good"
"H.Unnimaya";700040;88;;89;80;89;90;81;"30/30";"Very Good"
"K.Vinay";700041;55;;66;67;69;59;55;"30/30";"Need Improvement"
"S.Vijil";700042;;34;45;46;34;47;50;"29/30";"Poor"
