"Student";"StudentID";"Malayalam";"Tamil";"English";"Hindi";"Math";"Science";"Social";"Attendance";"Remarks"
"R.S.Abhilash";600001;70;;75;72;70;81;84;"30/30";"Good"
"A.R.Anil";600002;;55;57;31;44;45;51;"27/30";"Poor"
"S.C.Anjali";600003;;92;94;81;84;81;87;"30/30";"Very Good"
"C.V.Athira";600004;;72;76;81;79;83;79;"30/30";"Good"
"S.S.Athulya";600005;;81;74;79;82;77;78;"28/30";"Good"
"B.N.Biju";600006;56;;54;34;45;51;56;"28/30";"Poor"
"N.A.Bindhu";600007;;88;87;77;75;71;78;"29/30";"Good"
"D.V.Binu";600008;;56;44;41;28;34;47;"27/30";"Poor"
"C.S.Bhavana";600009;90;;88;81;86;80;83;"30/30";"Good"
"A.N.Brindha";600010;;77;72;74;78;81;84;"29/30";"Good"
"C.S.Chandhini";600011;91;;87;82;90;93;92;"29/30";"Very Good"
"A.L.Chandrika";600012;;89;87;91;93;87;85;"29/30";"Very Good"
"V.A.Daniel";600013;;51;47;46;45;31;56;"26/30";"Poor"
"S.S.Dhanya";600014;;56;62;51;44;29;37;"28/30";"Poor"
"B.S.Deepthi";600015;80;;90;83;86;84;88;"29/30";"Very Good"
"A.Eugene";600016;;56;62;63;34;47;51;"26/30";"Poor"
"S.Esther";600017;;43;45;33;43;54;56;"28/30";"Poor"
"A.Ferdinand";600018;67;;69;71;59;58;64;"28/30";"Need Improvement"
"S.Franklin";600019;;77;67;78;82;87;77;"29/30";"Good"
"N.Freddy";600020;;66;59;64;69;71;73;"30/30";"Need Improvement"
"R.S.Gayathri";600021;90;;89;91;90;93;88;"30/30";"Very Good"
"S.S.Ganesh Kumar";600022;;50;46;34;38;44;49;"26/30";"Poor"
"A.Hema";600023;80;;88;89;90;89;83;"30/30";"Very Good"
"S.S.Indrajith";600024;;76;71;72;78;81;83;"30/30";"Good"
"R.Indira";600025;;88;87;80;88;82;80;"29/30";"Very Good"
"S.Jeni";600026;;77;76;79;81;77;76;"29/30";"Good"
"M.Kavitha";600027;;91;90;92;94;93;90;"30/30";"Very Good"
"K.Kiran";600028;56;;61;51;47;34;56;"28/30";"Poor"
"D.Lingston";600029;;55;51;29;34;47;56;"30/30";"Poor"
"S.Manoj";600030;;77;76;79;81;79;80;"30/30";"Good"
"A.Mridhula";600031;90;;80;86;90;89;91;"29/30";"Very Good"
"F.Mejo";600032;;55;45;37;29;56;57;"29/30";"Poor"
"S.Prakash";600033;;77;78;69;78;79;81;"29/30";"Good"
"A.Rahman";600034;;65;61;59;58;61;63;"30/30";"Need Improvement"
"V.A.Rajesh";600035;;81;77;79;83;72;76;"29/30";"Good"
"C.S.Reshmi";600036;96;;94;99;98;95;97;"30/30";"Very Good"
"A.Suresh";600037;;60;66;59;61;63;72;"29/30";"Need Improvement"
"S.N.Suresh";600038;47;;46;31;45;56;48;"27/30";"Poor"
"A.Tushara";600039;;77;72;77;80;72;77;"30/30";"Good"
"N.Ujin";600040;;62;61;65;59;58;63;"30/30";"Need Improvement"
"M.Vijay";600041;55;;41;33;47;54;30;"29/30";"Poor"
