"EducationYear";"TypeOfExam";"Division";"Standard";;;;;;;;
"2015-2016";"Periodical2";"All";10;;;;;;;;
;;;;;;;;;;;
"Student";"StudentID";"Malayalam";"Tamil";"English";"Hindi";"Math";"Science1";"Science2";"Social";"Attendance";"Remarks"
"R.S.Arun";100001;88;;90;94;96;92;93;95;"29/30";"Very Good"
"S.Arshad";100002;;51;45;45;34;57;56;44;"29/30";"Poor"
"R.Ambili";100003;;88;85;91;94;87;93;90;"30/30";"Very Good"
"B.Anto";100004;;71;69;78;61;79;69;77;"28/30";"Need Improvement"
"H.Athira";100005;;78;79;80;84;83;79;84;"28/30";"Good"
"S.Binil";100006;41;;34;56;30;55;51;47;"28/30";"Poor"
"D.Babitha";100007;;78;67;71;69;59;61;66;"29/30";"Need Improvement"
"D.Brijesh";100008;;45;51;45;46;51;33;47;"26/30";"Poor"
"A.Britto";100009;67;;69;71;77;59;61;71;"27/30";"Need Improvement"
"A.N.Bhavani";100010;;78;71;77;81;78;79;81;"30/30";"Good"
"A.Chandra Lekha";100011;90;;91;92;94;90;89;93;"29/30";"Very Good"
"S.Cibiraj";100012;;67;71;62;79;59;77;66;"29/30";"Need Improvement"
"S.Daniston";100013;;66;77;72;39;56;71;67;"28/30";"Poor"
"S.S.Deepa";100014;;77;81;84;90;89;92;96;"29/30";"Good"
"S.Devi";100015;87;;88;92;98;93;96;95;"29/30";"Very Good"
"R.Ervine";100016;;61;65;57;45;54;51;57;"30/30";"Need Improvement"
"J.Elena";100017;;41;33;47;30;45;51;41;"29/30";"Poor"
"A.Fawad";100018;47;;46;30;47;51;50;48;"28/30";"Poor"
"J.Finil";100019;;72;77;69;81;79;88;80;"29/30";"Good"
"S.Febi";100020;;47;44;51;24;41;33;47;"28/30";"Poor"
"R.Girija";100021;88;;80;81;94;89;88;92;"29/30";"Very Good"
"A.Gokul";100022;;55;57;59;66;69;58;51;"28/30";"Need Improvement"
"A.Haritha";100023;70;;76;81;88;90;80;86;"30/30";"Good"
"A.Ivan";100024;;51;55;34;41;56;67;31;"28/30";"Poor"
"S.Ishan";100025;;70;72;59;80;67;77;67;"29/30";"Need Improvement"
"J.Jerry";100026;;80;72;77;76;81;78;81;"30/30";"Good"
"K.Kanimozhi";100027;;89;82;81;94;90;84;88;"30/30";"Very Good"
"S.Kumar";100028;31;;47;51;56;30;44;51;"28/30";"Poor"
"K.Lal";100029;;56;31;44;29;51;30;50;"27/30";"Poor"
"S.Mohan";100030;;82;70;69;66;51;69;71;"29/30";"Need Improvement"
"S.Malar";100031;94;;90;92;99;100;92;89;"28/30";"Very Good"
"R.Priya";100032;;51;55;34;41;46;51;56;"29/30";"Poor"
"P.Pooja";100033;;80;78;"ab";89;77;80;79;"26/30";"Dont take leave"
"V.Preetha";100034;;60;61;59;71;54;59;70;"28/30";"Need Improvement"
"S.Rahul";100035;;79;78;71;84;86;83;81;"29/30";"Good"
"V.Riju";100036;90;;88;90;91;94;91;90;"29/30";"Very Good"
"A.Sunil";100037;;61;71;66;59;61;64;67;"30/30";"Need Improvement"
"S.Subash";100038;55;;51;44;30;61;55;53;"28/30";"Poor"
"A.Tittu";100039;;67;77;72;81;79;80;82;"30/30";"Good"
"N.Udit";100040;;80;71;78;77;80;84;81;"29/30";"Good"
"M.Vikash";100041;50;;40;44;33;51;47;40;"27/30";"Poor"
